Model,Accuracy,Precision,Recall,F1,ROC_AUC
Regularized Regression,0.7944723794788846,0.528396913844835,0.7734901960784314,0.6278729229006176,0.8713956475991411
KNN,0.7532965294138331,0.4683331686592234,0.7435294117647059,0.5746847720659554,0.7996112307867309
Logistic Regression,0.7946130314005415,0.5286357786357786,0.7731764705882352,0.6279380852283585,0.8713852180466094
Linear Discriminant Analysis,0.7975315587749218,0.5335727500272064,0.7690980392156863,0.6300436905679774,0.8708031110921526
